Name,Address,Type,URL,OnTap,Taps,Open,Closed,Directions,MileMarkerExit,MilesFromTrail,lon,lat
Adroit Theory Brewing,"404 Browning Ct Unit C, Purcellville, VA",Brewery,http://www.adroit-theory.com/,(703) 722-3144,10,Sun noon-6 pm; Thurs-Fri 4-8 pm; Sat noon-8 pm,Closed Mon-Tues-Wed,"North on 21st St, right on Hirst Rd, right on Browning Ct.",end 44.6,0.7,-77.720183,39.143902
American Tap Room Reston,"1811 Library St, Reston, VA",Bar & restaurant,http://www.americantaproom.com/,http://www.americantaproom.com/images/menus/Reston/ATR-Re-DRINKS-RS-06-03v3.pdf,14,Sun 10 am-midnight; Mon-Tues 11 am-midnight; Wed-Sat 11 am-2 am,,"Exit W&OD east of Town Center Parkway at Bike Lane Reston Town Center sign, turn right on Bluemont Way, left on Library St",between 18 & 18.5,0.25,-77.3583673,38.9582828
Beltway Brewing,"22620 Davis Dr #110, Sterling, VA",Contract brewery,http://www.beltwaybrewco.com/,(571) 989-2759,6,Fri 4-9 pm,Closed Sun-Wed,"Approx. 500 feet east of Sterling Blvd, look for brewery sign on south side of W&OD",between 22 & 22.5,0,-77.416282,38.992404
Big Bowl,"11915 Democracy Dr, Reston, VA",Bar & restaurant,http://bigbowl.com/store/reston/,(703) 787-8852,6,Sun-Thurs 11 am-10 pm; Fri-Sat 11 am-11 pm,,"Exit W&OD east of Town Center Parkway at Bike Lane Reston Town Center sign, turn right on Bluemont Way, left on Library St to Democracy Dr",between 18 & 18.5,0.25,-77.358322,38.957679
BJ's Restaurant / Brewhouse,"8027 Leesburg Pike, Vienna, VA",Bar & restaurant,http://www.bjsrestaurants.com/,http://www.bjsrestaurants.com/bj-beers,50,Sun-Thurs 11 am-midnight; Fri-Sat 11 am-1 am,,"North on Gallows Rd, right on Gallows Branch Rd, left on Old Gallows Rd, left on service road after Bank of America branch",between 9.0 & 9.5,1.4,-77.222509,38.912804
Black Finn Ameripub Dunn Loring,"2750 Gallows Road, Merrifield, VA",Bar & restaurant,http://blackfinnameripub.com/,(703) 207-0100,58,11 am-2 am,,South on Gallows Rd,between 9.0 & 9.5,0.9,-77.227991,38.878965
Buffalo Wing Factory and Pub Ashburn,"43761 Parkhurst Plaza #100, Ashburn, VA",Bar & restaurant,http://www.buffalowingfactory.com/,(703) 729-4200,30,Sun 11 am-10 pm; Mon 11 am-games end; Tues-Wed 11 am-10 pm; Thurs-Sat 11 am-11 pm,,"South on Ashburn Rd, right turn at Thatcher Terrace intersection, follow road to the right, then turn left after the first building, follow to restaurant",27.5,1.2,-77.486998,39.029108
Buffalo Wing Factory and Pub Sterling,"22034 Shaw Rd, Sterling, VA",Bar & restaurant,http://www.buffalowingfactory.com/,(703) 406-0505,30,Sun 11 am-10 pm; Mon 11 am-games end; Tues-Wed 11 am-10 pm; Thurs-Sat 11 am-11 pm,,"Approx. .2 miles east of Church Rd overpass, turn onto paved path on the south side of W&OD, follow up hill to Church Rd, turn left onto sidewalk, turn left onto Davis Dr, right on Shaw Rd, follow Shaw around to the right, then left into shopping plaza",between 23 & 23.5,0.5,-77.431715,39.003759
Caboose Brewing,"520 Mill St NE, Vienna, VA",Brewpub,https://www.facebook.com/CabooseBrewing,(703) 865-8580,,"(proposed) open daily, hours to be determined",,Look for brewery sign on north side of W&OD,just west of 12,0,-77.270574,38.907741
Capitol City Brewing Company Shirlington,"4001 Campbell Ave, Arlington, VA",Brewpub,http://www.capcitybrew.com/arlington.php,http://www.capcitybrew.com/seasonalbrews.php,8,Sun 10 am-10 pm; Mon-Wed 11 am-midnight; Thurs-Fri 11 am-1 am; Sat 10 am-1 am,,"South on Shirlington Rd, then right on Arlington Mill Rd, left on Quincy St to Campbell Av",0,0.25,-77.087328,38.841074
